DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
ZAVALLA ISD,003906,003 ANGELINA,07,2,320,0.3,1.9,94.7,0,0,0,3.1,70.6,0,16.6,0,27.2,2.8,92.2,1.2,92.3,92.6,93.1,21,18,76,44,12,81,51,15,70,39,8,77,38,11,73,35,10,-1,-1,-1,100,57,29,76,43,11,,,,,,,,,,65,47,18,76,41,9,23.8,20,956,,61.7,36.6,1.6,3.3,4.7,59.3,6.3,24.7,107635,75139,45998,57591,1.6,5.2,8.8,31.9,15.1,25.5,30.3,0,0,97.3,0,0,0,2.7,63.1,19.9,9.4,0,7.6,0,488431,1.284,5598998,18663,5137351,52.2,28.2,19.6,461647,2014555,0,5619327,4773294,15911,61.3,9.8,4.1,11.6,13.2,2924146,9747,39.5,13.1,10.9,0,4.1,0.2,2,0,1.4,26.9,Under 500,Rural,"$466,931 to < $488,752",$1.1800 to under $1.3001
CENTRAL ISD,003907,003 ANGELINA,07,4,1461,3.7,22.6,70.8,0,0,0,2.9,63.7,5.5,16.4,5.3,34.2,6,93.3,0.8,96.4,98.9,99,88,68,76,45,15,77,50,13,75,41,13,75,41,13,75,49,35,72,39,18,75,41,12,76,47,16,,,,,,,,,,81,46,16,71,39,11,72.7,15.6,959,,258.7,112.7,1.8,3.3,10,43.6,13.3,28.1,100120,71038,65020,55124,13,5.6,13,41.6,10.1,12.4,23.9,0,6.1,93,0,0,0,0.9,75.2,8.4,3,0.8,10,2.6,234336,1.116,21327715,14699,20435730,60,19.8,20.2,891985,9215481,0,20243817,18540727,12778,57.8,5.8,4.7,11.5,20.2,10718460,7387,41,13,5.4,0.2,4.1,0.5,2.4,0,0.7,32.3,"1,000 to 1,599",Non-metropolitan Stable,"$191,241 to < $251,917",$1.0600 to under $1.1800
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,4,3043,1.8,44.1,48.8,0.3,1.9,0.2,3,68.9,5.7,15,5.7,20.2,4.4,92,0.6,96,91.8,92.8,244,192,70,43,16,70,46,15,65,36,16,74,40,12,86,60,34,58,27,7,65,35,11,74,49,20,63,25,13,92,76,43,89,67,22,79,48,16,63,34,11,87.3,20.2,935,-1,464.9,207.8,2.8,2,9.7,44.7,11.8,29,89203,82301,61034,56672,29.8,6.5,14.6,32.9,12.4,20.5,26.4,1,21,77.1,0,0.5,0,0.5,77.8,13.9,3.2,1,4,0.2,1236172,0.932,46585568,15503,43757937,12.5,62,25.5,2827631,12003685,0,43379194,40874212,13602,53.5,7.5,3.9,16.2,18.9,21880380,7281,40.4,10.4,7.4,0.2,2.6,0.1,2.3,0,0.3,34.1,"3,000 to 4,999",Independent Town,"$1,147,749 and over",Under $1.0600
ARCHER CITY ISD,005901,005 ARCHER,09,2,491,1.4,13.6,79.4,0.8,0.4,0,4.3,51.3,1.4,16.1,1.4,24.4,5.5,94.6,0,100,81.8,100,51,50,90,73,35,92,78,39,94,76,38,86,65,27,78,56,22,,,,91,61,18,91,76,38,43,43,29,-1,-1,-1,,,,93,82,54,89,70,29,84.3,18.6,-1,17.9,91.2,47.2,1.1,3.3,4.4,51.8,17,22.5,159108,90590,65769,56628,3.3,5.4,10.4,20.6,14.3,15.3,23,0,2,93.9,0,0,0,4.1,75.9,8.3,4.1,0,11.7,0,486531,1.212,8547127,16892,7337207,49.2,36.3,14.5,1209920,2718923,0,8789142,7412494,14649,59.2,6.4,4.4,10.3,19.7,4384898,8666,42.6,7.5,8.5,0.1,6.2,0.1,4.9,0,1,27.2,Under 500,Rural,"$466,931 to < $488,752",$1.1800 to under $1.3001
HOLLIDAY ISD,005902,005 ARCHER,09,3,1134,0.3,9.5,86.1,0.6,0.2,0.1,3.3,22.5,0.6,13.8,0.6,26.4,5.9,95.6,0,100,100,100,85,75,87,66,32,88,70,36,86,63,28,87,62,25,88,71,41,100,86,14,84,61,21,88,67,32,100,91,55,-1,-1,-1,-1,-1,-1,85,73,48,76,46,17,80,61.8,1094,23.8,149.6,87.2,2,3.3,4,58.3,15.5,16.9,110633,82140,71192,56404,10.9,7.6,13,17.4,15.7,20.6,13.5,0,4.6,94.3,0,0,0,1.1,78.3,7.1,6.8,0,7.6,0.2,376136,1.295,15133350,13440,13805542,59.4,32.6,8,1327808,2741694,0,14276997,11272116,10011,59.2,5.4,4.8,9.7,20.9,6678085,5931,50.4,7.3,3.3,0.1,5.4,0.2,4.6,0,0.3,26,"1,000 to 1,599",Other Central City Suburban,"$355,840 to < $399,525",$1.1800 to under $1.3001
WINDTHORST ISD,005904,005 ARCHER,09,3,527,0.8,24.3,74,0.2,0.6,0,0.2,40.6,5.9,8.2,6.5,31.1,7.6,96.6,0,100,100,100,29,29,94,72,31,92,77,31,96,73,33,95,62,28,91,71,26,-1,-1,-1,89,58,14,96,78,36,-1,-1,-1,100,100,89,,,,-1,-1,-1,91,60,19,82.8,41.7,1035,19.6,72.3,37.2,2.8,2.8,4.1,51.5,12.1,26.8,104200,76285,65339,55437,15.4,7.3,14.1,13.1,15.7,10.5,16.3,0,2.7,97.3,0,0,0,0,80.5,2.6,5.2,0,11.6,0,175086,1.212,7722733,14571,7494309,72.3,15.5,12.2,228424,2317321,0,7265546,6072247,11457,56.4,8.4,5.4,11.9,17.9,3425318,6463,45.3,4.8,3.9,0.2,7.6,0.3,5.5,0,0.3,28.8,500 to 999,Non-metropolitan Fast Growing,"Under $191,241",$1.1800 to under $1.3001
CLAUDE ISD,006902,006 ARMSTRONG,16,1,328,1.5,14.9,79.3,0.6,0,0,3.7,34.1,1.5,11,1.5,33.2,7,94.8,0,100,100,95.2,16,15,88,66,30,91,69,27,87,60,29,86,71,30,81,72,44,63,50,0,90,55,19,90,70,34,100,80,0,,,,,,,57,43,10,78,52,11,75,33.3,,20,53.3,31.5,1.9,2.9,6.9,59.1,9.8,19.4,117700,76527,51184,44549,8.8,6.2,10.4,34.1,12.3,15.1,13.4,0,3.2,96.8,0,0,0,0,85.9,3.3,3.6,0,7.2,0,698942,1.018,5072240,16522,4798419,39.9,48.9,11.3,273821,3241010,0,4272045,4130645,13455,52.8,14.3,6.3,11.5,15.1,2181162,7105,43.2,5.3,4.4,0,5.8,0.2,3.6,0,0.9,34.1,Under 500,Rural,"$640,713 to < $711,268",Under $1.0600
CHARLOTTE ISD,007901,007 ATASCOSA,20,3,433,0.5,84.8,14.5,0,0,0,0.2,62.8,6,14.5,5.8,29.1,2.3,94.3,0,100,83.3,100,35,33,69,33,7,74,39,8,68,32,7,64,27,6,57,19,2,-1,-1,-1,68,31,6,79,46,10,,,,,,,,,,,,,62,28,5,94.3,12.1,895,15.2,95.3,47.8,2.1,2.1,4.1,50.2,15.5,26,106500,86965,61841,57019,74.3,4.5,9.1,33.9,11.5,16.7,35.7,2.1,64.5,31.4,0,0,0,2.1,85.1,2.4,4.2,0,8.4,0,889882,1.284,7891652,19878,7006201,22.9,53.6,23.5,885451,1542299,0,11298072,7797962,19642,48.8,10.8,4.6,15.1,20.6,3808407,9593,22.6,9,20.7,0.3,5.2,0.1,4.6,0,0.6,34,Under 500,Rural,"$836,417 to < $989,691",$1.1800 to under $1.3001
JOURDANTON ISD,007902,007 ATASCOSA,20,7,1584,0.6,61,36.7,0.1,0.4,0.1,1.1,57.7,3.6,15.5,3.2,19.7,4.2,93.6,0.2,97.5,98.1,97.5,120,95,78,51,20,79,52,17,76,47,21,80,53,21,77,52,29,91,45,0,74,45,16,86,61,27,,,,100,86,43,,,,81,56,26,71,41,13,70.8,24.7,960,22.6,240.6,122,1.2,3.8,2.9,50.7,15.6,25.8,117697,91391,81318,59516,39.4,6.6,13,29.6,12.2,20.4,14.1,0,24.6,74.6,0,0,0,0.8,75.9,8.5,6.5,0.1,6.4,2.5,542216,1.376,24790167,15800,21594149,38.9,45.4,15.7,3196018,11500102,0,23099282,19306828,12305,57.6,7.7,5.7,10.7,18.3,11113201,7083,41,14.5,6.3,0.3,4.2,0.3,4.6,0,1.5,25.3,"1,000 to 1,599",Non-metropolitan Stable,"$523,458 to < $547,824",$1.3001 and over
LYTLE ISD,007904,007 ATASCOSA,20,5,1806,0.6,83.6,14.2,0.3,0.3,0,1,75,15.1,12,14.7,28.5,3.1,92.1,3.9,89.6,93.4,93.3,116,103,67,33,7,67,38,7,65,25,6,68,33,7,73,35,11,56,22,11,63,29,6,83,49,11,-1,-1,-1,100,100,33,,,,83,45,14,62,27,5,12.9,20,993,-1,292.5,124.9,3.1,3.1,8.3,42.7,12.8,30,100226,78032,70766,57349,62.8,6.2,14.5,44.4,10.3,24.3,27.8,0.8,50,49.2,0,0,0,0,73.6,8.7,6.4,0,9,2.3,255051,1.285,24695735,14193,22653260,57.2,21.1,21.6,2042475,5716447,0,24080406,21089137,12120,51.4,8.3,5.1,11.9,23.4,10830125,6224,29.4,7.9,22.7,0.6,4.9,0.2,3.5,0,2.1,26.5,"1,600 to 2,999",Non-metropolitan Stable,"$251,917 to < $316,888",$1.1800 to under $1.3001
PLEASANTON ISD,007905,007 ATASCOSA,20,6,3378,0.6,72.2,25.4,0.2,0.4,0.1,1,67.1,6,14.3,5.4,33.1,4.8,91.7,0.9,95.5,97.5,97.2,244,235,75,47,16,74,49,16,72,39,13,79,53,19,81,53,25,76,41,12,72,42,14,82,58,23,82,45,9,93,80,40,-1,-1,-1,85,60,26,68,38,11,58.2,28.2,981,21.9,490.6,242.1,1.6,2.4,6.9,49.3,13.5,26.2,108208,89517,73558,61089,56.4,6.9,14,33.9,10.9,23.2,17.9,1.7,39.7,57,0,0,0,1.7,74.8,12.9,2.1,1.7,5.1,3.5,555512,1.273,52756051,15636,48454257,31,45.9,23.2,4301794,28738541,0,50017651,43414541,12867,54.7,6.2,5.4,12.4,21.4,23741894,7037,35.8,17.9,8.8,0.8,3.5,0.3,2.3,0,1.1,27,"3,000 to 4,999",Independent Town,"$547,824 to < $574,353",$1.1800 to under $1.3001
POTEET ISD,007906,007 ATASCOSA,20,4,1832,0.6,88.4,10.6,0,0,0,0.4,75.6,9.9,13.5,11.9,28.5,5.5,88.7,3,90.7,93.2,98.1,108,100,68,34,9,72,44,12,64,26,7,66,23,5,71,37,13,62,8,0,67,32,8,79,48,18,-1,-1,-1,,,,,,,62,31,0,64,29,7,27.8,20,994,18.3,264.5,122.1,1.5,3.4,9.6,46.2,15,24.3,107291,80006,61032,55532,69.9,6.9,15,38.6,11.4,26.4,32.7,0.8,57.2,41.1,0,0,0,0.8,71.1,9.3,8.5,3,8.1,0.1,292640,1.398,24619871,14690,22249556,56.4,23.7,19.8,2370315,10380072,0,22549282,19345261,11543,54.7,8.7,5.6,11.1,19.8,10572310,6308,34.8,8.7,12.1,1.5,4.7,0.2,3.6,0,0,30.8,"1,600 to 2,999",Non-metropolitan Stable,"$251,917 to < $316,888",$1.3001 and over
